KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ABILITY_BLOCK_NAME,Block,,Bloqueo,Résistance,Blocken,Parata,Bloqueio,,,ブロック,
ABILITY_BLOCK_DESC,Gain +2 [img:shield].,,Obtiene +2 [img:shield].,[img:shield]&nbsp;+2.,Erhalte +2&nbsp;[img:shield].,Ottieni +2 allo [img:shield].,Obtenha +2 de [img:shield].,,,[img:shield]+2を​得る。,
ABILITY_BLOCK2_DESC,Gain +5 [img:shield].,,Obtiene +5 [img:shield].,[img:shield]&nbsp;+5.,Erhalte +5&nbsp;[img:shield].,Ottieni +5 allo [img:shield].,Obtenha +5 de [img:shield].,,,[img:shield]+5を​得る。,
ABILITY_REST_NAME,Rest,,Descanso,Repos,Schläfchen,Riposo,Descanso,,,休息,
ABILITY_REST_DESC,"Heal some HP, then fall asleep.",,Recupera algunos PS y luego se duerme.,Vous regagnez un peu de PV avant de vous endormir.,Stelle ein paar LP wieder her und schlafe anschließend ein.,"Rigeneri alcuni PS, poi ti addormenti.","Cure um pouco de saúde, e então adormeça.",,,HPを​少し​回復し、​眠りに​落ちる。[b][/b],
ABILITY_REST2_DESC,"Heal a lot of HP, then fall asleep.",,Recupera muchos PS y luego se duerme.,Vous regagnez beaucoup de PV avant de vous endormir.,Stelle viel LP wieder her und schlafe anschließend ein.,"Rigeneri molti PS, poi ti addormenti.","Cure muita saúde, e então adormeça.",,,HPを​大きく​回復し、​眠りに​落ちる。[b][/b],
ABLITY_BRACE_NAME,Brace,,Refuerzo,Garde,Wappnen,Guardia,Preparação,,,ガード,
ABLITY_BRACE_DESC,Gain +1 temporary Brace until your next turn.,,Obtiene +1 de refuerzo temporal hasta el próximo turno.,Garde temporaire&nbsp;+1&nbsp;jusqu'à votre prochain tour.,Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen.,Ottieni +1 Guardia temporanea fino al tuo prossimo turno.,Obtenha +1 de preparação temporária até seu próximo turno.,,,次の​ターンまで​一時的に​ガード+1を​得る。[b][/b],
ABLITY_BRACE2_DESC,Gain +1 temporary Brace and +1 temporary Thorns until your next turn.,,Obtiene +1 de refuerzo temporal y +1 de espinas temporal hasta el próximo turno.,Garde temporaire&nbsp;+1&nbsp;et Épines temporaires&nbsp;+1&nbsp;jusqu'à votre prochain tour.,Erhalte bis zu deinem nächsten Zug +1 vorübergehendes Wappnen und +1 vorübergehende Dornen.,Ottieni +1 Guardia temporanea e +1 Spine temporanee fino al tuo prossimo turno.,Obtenha +1 de preparação temporária e +1 de espinhos temporários até seu próximo turno.,,,次の​ターンまで​一時的に​ガード+1と​棘+1を​得る。[b][/b],
ABILITY_GROOM_NAME,Groom,,Acicalamiento,Toilettage,Schlecken,Toelettatura,Enfeitar,,,毛繕い,
