KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
HOUSE_BUTTON_DEFEND,Defend!,,Defender,Défendre !,Verteidigen!,Difendi!,Defender!,,,防衛!,
ENDING_CUTSCENE_FIN,The End?,,¿El fin?,Fin ?,Ende?,La fine?,Fim?,,,終わり?,
LEVELUP_OPTION_STATUP,Stat Up!,,¡Aumento de atributo!,Stat+ !,Attribut hoch!,Statistica +!,Atributo +!,,,ステータスアップ!,
ITEM_UI_NEW,NEW,,NUEVO,NOUVEAU,NEU,NUOVO,NOVO,,,新品,
ITEM_UI_WORN_INDICATOR,w,,d,u,a,ind,g,,,使,
CAT_UI_BOX_SHORTCUT_LABEL,BOX,,CAJA,BOÎTE,BOX,SCATOLA,CAIXA,,,ボックス,
KEYWORD_PERMABLIND_DESC,30% miss chance.,,30 % de probabilidad de fallo.,Risques d'échec +30&nbsp;%,"30%ige Wahrscheinlichkeit, dass Angriffe verfehlen.",30% di possibilità di mancare.,30% de chance de errar.,,,30%の​ミス確率。,
SETTINGS_MAXFRAMERATE_LABEL,Limit Framerate,,Límite de fps,Images par seconde,Bildrate begrenzen,Limite Framerate,Limitar taxa de quadros,,프레임 제한,フレームレート制限,帧率上限
SETTINGS_MAXFRAMERATE_OPT_UNCAPPED,Uncapped,,Ilimitado,Illimitées,Unbegrenzt,Illimitato,Ilimitado,,제한 해제,無制限,无


