KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
//weapons,,,,,,,,,,,
ITEM_22RIFLE_NAME,.22 Rifle,,Fusil calibre 22,Carabine .22,Kleinkaliber,Fucile .22,Rifle .22,,,.22ライフル,
ITEM_22RIFLE_DESC,Use: Fire a shot anywhere within your line of sight.,,Uso: Dispara un proyectil a cualquier parte del campo visual.,Utilisation&nbsp;: tire sur n'importe quelle cible dans votre ligne de mire.,Benutzen: Schieße auf ein Ziel in deiner Sichtlinie.,Uso: Spari un colpo in qualsiasi punto entro il tuo campo visivo.,Uso: realize um disparo em qualquer lugar dentro do seu campo de visão.,,,使用:視界内の​任意の​場所に​射撃する。[b][/b],
ITEM_ALIENBLASTER_NAME,Alien Blaster,,Desintegrador extraterrestre,Flingue extraterrestre,Alienblaster,Blaster Alieno,Blaster Alienígena,,,エイリアンブラスター,
ITEM_ALIENBLASTER_DESC,Use: A laser attack. Gains +1 damage for the rest of the battle each time it's used.,,Uso: Lanza un ataque láser. Obtiene +1 de daño durante el resto del combate cada vez que se dispara.,Utilisation&nbsp;: une attaque laser. Dégâts +1&nbsp;à chaque utilisation durant ce combat.,"Benutzen: Ein Laserangriff. Erhält für den Rest des Kampfes jedes Mal +1&nbsp;Schaden, wenn er benutzt wird.",Uso: Un attacco laser. Ottieni +1 al Danno per il resto della battaglia ogni volta che viene utilizzato.,Uso: um ataque a laser. Obtém +1 de dano pelo resto da batalha a cada vez que for usada.,,,使用:レーザー攻撃。​使用する​たびに​バトル中+1ダメージを​獲得。[b][/b],
ITEM_ALIENTECH_NAME,Alien Tech,,Tecnología extraterrestre,Technologie extraterrestre,Alientechnologie,Tecnologia Aliena,Tecnologia Alienígena,,,エイリアンテクノロジー,
ITEM_ALIENTECH_DESC,Use: Target an area. Unleash a hyper beam attack in that area at the start of your next turn.[s:.7](Usable once per battle.)[/s],,Uso: Marca como objetivo una zona y lanza un ataque con hiperrayo al inicio del siguiente turno.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: lance une énorme attaque laser sur la zone sélectionnée au début de votre prochain tour.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],Benutzen: Wähle einen Zielbereich. Entfessle am Anfang deines nächsten Zuges einen Hyperstrahlangriff in diesem Bereich.[s:.7](Einmal pro Kampf verwendbar.)[/s],Uso: Seleziona un'area bersaglio. Scateni un attacco a iper-raggio in quell'area all'inizio del tuo prossimo turno.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: mire em uma área. Libere um ataque de hiper raio nessa área no início do seu próximo turno.[s:.7](Um uso por batalha.)[/s],,,使用:エリアを​対象に​する。​次の​ターン開始時に​その​エリアに​ハイパービーム攻撃を​放つ。[s:.7](バトル中1回のみ​使用可能。)[/s],
ITEM_AMERICANFLAG_NAME,American Flag,,Barras y estrellas,Drapeau états-unien,Amerikaflagge,Bandiera Americana,Bandeira Americana,,,星条旗,
ITEM_AMERICANFLAG_DESC,Use: Force a unit to attack one of its enemies.[s:.7](Usable once per battle.)[/s],,Uso: Obliga a una unidad a atacar a uno de los enemigos.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: contraint une unité à attaquer un de ses ennemis.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],"Benutzen: Zwinge eine Einheit, einen ihrer Gegner anzugreifen.[s:.7](Einmal pro Kampf verwendbar.)[/s]",Uso: Costringi un'unità ad attaccare uno dei suoi nemici.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: force uma unidade a atacar um de seus inimigos.[s:.7](Um uso por batalha.)[/s],,,使用:ユニットに​敵を​攻撃させる。[s:.7](バトル中1回のみ​使用可能。)[/s],
ITEM_ANARCHISTCOOKBOOK_NAME,Anarchist Cookbook,,Recetario anarquista,B.a.-ba de l'anarchiste,Anarchist Cookbook,Ricettario Anarchico,Manual Anarquista,,,アナーキストの​料理本,
ITEM_ANARCHISTCOOKBOOK_DESC,Use: Summon 3-5 grenades that explode at the end of the round or when destroyed.,,Uso: Invoca 3-5 granadas que estallan al final de la ronda o cuando se destruyen.,Utilisation&nbsp;: fait apparaître 3&nbsp;à 5&nbsp;grenades qui explosent en fin de manche ou en étant détruites.,"Benutzen: Lasse 3&nbsp;– 5 Granaten erscheinen, die am Ende der Runde, oder wenn sie zerstört werden, explodieren.",Uso: Evochi 3-5 granate che esplodono alla fine del round o quando vengono distrutte.,Uso: invoque 3-5 granadas que explodem no final da rodada ou ao serem destruídas.,,,使用:ラウンド終了時または​破壊時に​爆発する​手榴弾を​3~5個召喚する。[b][/b],
ITEM_ANOINTINGOIL_NAME,Anointing Oil,,Óleo de los enfermos,Huile d'onction,Salböl,Olio da Unzione,Óleo de Unção,,,聖別の​オイル,
ITEM_ANOINTINGOIL_DESC,Use: Cleanse debuffs from an adjacent unit or yourself.[s:.7](Usable once per battle.)[/s],,Uso: Elimina las desventajas de esta unidad o de otra adyacente.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: dissipe les malus d'une unité adjacente ou de vous-même.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],Benutzen: Reinige deine Schwächungen oder die einer benachbarten Einheit.[s:.7](Einmal pro Kampf verwendbar.)[/s],Uso: Rimuovi i malus da te o da un'unità adiacente.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: purifique enfraquecimentos de si ou de uma unidade adjacente.[s:.7](Um uso por batalha.)[/s],,,使用:隣接ユニットまたは​自分の​デバフを​浄化する。[s:.7](バトル中1回のみ​使用可能。)[/s],
ITEM_BAGOFCHUM_NAME,Bag Of Chum,,Bolsa de cebo,Sac d'asticots,Ködertasche,Sacco di Pastura,Bolsa de Iscas,,,撒き餌袋,
ITEM_BAGOFCHUM_DESC,Use: Spawn a Charmed Maggot.,,Uso: Genera un gusano embrujado.,Utilisation&nbsp;: invoque un asticot envoûté.,Benutzen: Rufe eine freundliche Made.,Uso: Generi una Larva Ammaliata.,Uso: gere um verme enfeitiçado.,,,使用:魅了された​ウジを​生成する。[b][/b],
ITEM_BAGOFGLASS_NAME,Bag o' Glass,,Bolsa de cristales,Sac de verre,Scherbentasche,Sacco di Vetro,Saco de Vidro,,,ガラス袋,
ITEM_BAGOFGLASS_DESC,Use: Spawn Glass on an adjacent tile.5% chance to break when used.,,Uso: Genera cristales en una casilla adyacente.5 % de probabilidad de romperse al usarla.,Utilisation&nbsp;: fait apparaître du verre sur une case adjacente.5&nbsp;% de chances de se briser après utilisation.,Benutzen: Lasse auf einem benachbarten Feld Scherben erscheinen.Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.,Uso: Generi Vetro su una casella adiacente.5% di probabilità di rompersi quando viene utilizzato.,Uso: gere vidro em um espaço adjacente.5% de chance de quebrar após o uso.,,,使用:隣接タイルに​ガラスを​生成する。​使用時に​5%の​確率で​壊れる。[b][/b],
ITEM_BAGOFGLITTER_NAME,Bag o' Glitter,,Bolsa de brillibrilli,Sac de paillettes,Glitzertasche,Sacco di Brillantini,Saco de Purpurina,,,キラキラ袋,
ITEM_BAGOFGLITTER_DESC,Use: Inflict Blind 2 on an adjacent unit.5% chance to break when used.,,Uso: Inflige 2 de ceguera a una unidad adyacente.5 % de probabilidad de romperse al usarla.,Utilisation&nbsp;: inflige Cécité +2&nbsp;à une unité adjacente.5&nbsp;% de chances de se briser après utilisation.,Benutzen: Verursache Blindheit&nbsp;2 bei einer benachbarten Einheit.Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.,Uso: Infliggi Accecamento 2 a un'unità adiacente.5% di probabilità di rompersi quando viene utilizzato.,Uso: aplique cegueira 2 em uma unidade adjacente.5% de chance de quebrar após o uso.,,,使用:隣接ユニットに​盲目2を​付与する。​使用時に​5%の​確率で​壊れる。[b][/b],
ITEM_BAGOFMEAT_NAME,Bag o' Meat,,Bolsa de carne,Sac de viande,Fleischtasche,Sacco di Carne,Saco de Carne,,,肉袋,
ITEM_BAGOFMEAT_DESC,Use: Spawn Meat on an adjacent tile.5% chance to break when used.,,Uso: Genera carne en una casilla adyacente.5 % de probabilidad de romperse al usarla.,Utilisation&nbsp;: fait apparaître de la viande sur une case adjacente.5&nbsp;% de chances de se briser après utilisation.,Benutzen: Lasse auf einem benachbarten Feld Fleisch erscheinen.Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.,Uso: Generi Carne su una casella adiacente.5% di probabilità di rompersi quando viene utilizzato.,Uso: gere carne em um espaço adjacente.5% de chance de quebrar após o uso.,,,使用:隣接タイルに​肉を​生成する。​使用時に​5%の​確率で​壊れる。[b][/b],
ITEM_BAGOFROCKS_NAME,Bag of Rocks,,Bolsa de rocas,Sac de pierres,Steintasche,Sacco di Rocce,Saco de Pedras,,,石袋,
ITEM_BAGOFROCKS_DESC,Use: A melee attack that inflicts Bruise.,,Uso: Lanza un ataque cuerpo a cuerpo que inflige moratón.,Utilisation&nbsp;: une attaque au corps-à-corps qui inflige Contusion.,"Benutzen: Ein Nahkampfangriff, der Beulen verursacht.",Uso: Un attacco corpo a corpo che infligge Livido.,Uso: um ataque corpo-a-corpo que aplica contusão.,,,使用:打撲を​付与する​近接攻撃。[b][/b],
ITEM_BAGOFSTUFF_NAME,Bag o' Stuff,,Bolsa de chismes,Sac mystère,Tasche mit Zeug,Sacco di Roba,Saco de Coisas,,,色々袋,
